"識別ID","回答日時","セグメント","タグ","まずは、テレワークに関する皆様の率直なお気持ち・ご意見をお聞かせください。   オフィスで勤務していたときの標準的な生産性を「5」とすると、テレワーク時の生産性は何点ですか？ 0点～10点でお答えください。","NPS要因 - wifiなど業務遂行に十分な通信環境がある","NPS要因 - 机、椅子など、仕事がしやすい環境が自宅にある","NPS要因 - パソコン、プリンターなど業務に必要な機器が揃っている","NPS要因 - ウェブ会議やチャットツールなど業務に必要なツール・ソフトが揃っている","NPS要因 - 上司とのコミュニケーションは円滑に実施できている","NPS要因 - 同僚とのコミュニケーションは円滑に実施できている","NPS要因 - 顧客や社外関係者とのコミュニケーションは円滑に実施できている","NPS要因 - 業務量は適切である","NPS要因 - 適切な業務指示を受けている","NPS要因 - 自分の業務に対するフィードバック・評価をしっかり得られている","NPS要因 - 自身の業務はテレワークに対応しており、在宅でも遂行できている","NPS要因 - 会社は、自分の健康や安全に十分配慮している","NPS要因 - 会社は、自分の家族環境にも十分配慮している","NPS要因 - 情報セキュリティ対策を十分に行っている","NPS要因 - テレワークの環境整備など、施策実行が迅速だった","NPS要因 - 会社の業績は安定している","NPS要因 - 給与が安定して支払われている","NPS要因 -  プライベートと業務の切り替え、メリハリが上手く実施できている","平均すると、1週間で何日程度テレワークを実施していますか？","テレワークはどの程度前から実施していますか？最も近いものを選択してください。","ここからは、あなたがお勤めの会社に対する率直なお気持ち・ご意見をお聞かせください。   あなたは、現在の職場で働くことを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください。","NPS要因 - 業務内容に満足している","NPS要因 - 業務時間は適切である","NPS要因 - 仕事量は適切である","NPS要因 - 仕事を進める上で必要な裁量・権限がある","NPS要因 - 上司や同僚から自分の仕事に対して適度にアドバイスをもらえる","NPS要因 - 自身が成長するのに必要な研修を受ける機会がある","NPS要因 - 自分の努力や成果を考えれば、適切な昇進ができている","NPS要因 - 仕事の成果を公平に評価されている","NPS要因 - 現在の職場では、いい同僚・部下に恵まれている","NPS要因 - 現在の職場では、いい上司に恵まれている","NPS要因 - 顧客が満足しているとよく感じられる ","NPS要因 - 自分の仕事が企業ビジョンの達成につながっている","NPS要因 - 企業が継続的に成長している","NPS要因 - 企業が社会の役に立っていると感じる","NPS要因 - 性別や年齢に関わらず公平な職場である","NPS要因 - 上司や同僚に自分の意見や考えはしっかり聞いてもらえる","NPS要因 - いい仕事をしたときは、ほめられる","NPS要因 - 市場や環境の変化に合わせて、柔軟に変わっていける組織である","NPS要因 - 自分の部署やチームは、常に新しい考えを出したり、取り入れたりしている","NPS要因 - 会社から重要な情報がしっかりと共有されている","NPS要因 - 給与・報酬は仕事に見合っている","NPS要因 - 希望にそった休暇が取得できている","NPS要因 - 福利厚生など給与以外の手当が十分である","NPS要因 - ストレスなく仕事に取り組める職場環境である","NPS要因 - （自宅や訪問場所から）アクセスしやすいオフィス立地である","NPS要因 - （育児介護を含む）プライベートの時間確保や周囲のサポートが受けられている","NPS要因 - 設備やツールなど、仕事をするために必要な環境が整えられている","あなたの「仕事をする上での価値観（重視すること）」に最も近いものを1つ選択してください。","今後、どのくらい現在の職場で働きたいと考えていますか？ 現時点での勤続意向についてお聞かせください。","あなたの性別を選択してください。","あなたの年代を選択してください。","あなたの勤続年数を選択してください。","あなたの役職を選択してください。","あなたの雇用形態を選択してください。","あなたの入社形態を選択してください。","あなたの所属部門に最も近いものを選択してください。","IPアドレス","UserAgent"
"","2020/06/18 18:14:07","セグメントなし","","5;オフィス勤務と変わらないと思いました。","当てはまる","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","あまり当てはまらない","当てはまらない","当てはまる","当てはまる","どちらでもない","やや当てはまる","当てはまる","どちらでもない","当てはまる","当てはまる","週5日以上","4～5ヶ月程度前","5;専門職なので、中々紹介できる人がいない","あまり当てはまらない","当てはまる","当てはまらない","当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","当てはまらない","どちらでもない","当てはまる","どちらでもない","どちらでもない","当てはまる","どちらでもない","当てはまる","仕事とプライベートを両立しやすい環境で仕事をしたい","3年以上5年未満くらい","男性","40～49歳","1年以上～3年未満","プレイヤー（内勤系職種）","その他","中途","その他部門","220.110.61.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/18 10:51:40","セグメントなし","","7;必要以上に気を張らずにいられ、リラックスした状態で仕事ができるため。
また、出勤時に移動する疲労も無くなり、仕事以外の無駄な体力消費を減らせているため。","やや当てはまる","やや当てはまる","当てはまる","当てはまる","当てはまる","当てはまらない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","当てはまる","当てはまる","週5日以上","2ヶ月程度前","7;会社自体の空気が和やかで、作業に対してしっかりと評価してもらえるから。
しかし、自分の性格的に職場に馴染めていると感じる部分もあるため、
周囲に強く勧められるわけではない。","当てはまる","やや当てはまる","当てはまる","やや当てはまる","当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","仕事とプライベートを両立しやすい環境で仕事をしたい","3年以上5年未満くらい","男性","20～29歳","1年以上～3年未満","プレイヤー（内勤系職種）","正社員","新卒","技術・研究開発部門","119.83.156.127","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/17 09:33:27","セグメントなし","","10;自分が用意した使い慣れた環境（周辺機器、デスク回り等）で作業を行うことができるため","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","週5日以上","3ヶ月程度前","8","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","やや当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまらない","当てはまる","当てはまる","当てはまる","当てはまる","特定分野の専門家・エキスパートとして仕事をしたい","半年以上1年未満くらい","男性","20～29歳","半年以上～1年未満","プレイヤー（内勤系職種）","正社員","中途","システム部門","220.110.61.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/17 00:52:25","セグメントなし","","7;案件に集中できるため。","どちらでもない","どちらでもない","あまり当てはまらない","当てはまる","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","当てはまる","どちらでもない","どちらでもない","どちらでもない","週5日以上","3ヶ月程度前","5;労働環境や個人に裁量があり、自由に業務に携われるなど良いポイントはあるが、給与面、将来性、安定性などマイナスな面もあるため。","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","当てはまらない","どちらでもない","やや当てはまる","当てはまる","当てはまる","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","どちらでもない","やや当てはまる","どちらでもない","当てはまる","どちらでもない","当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","自分の決めたやり方やペースを守れる環境で仕事をしたい","10年以上","男性","40～49歳","5年以上～10年未満","課長（複数のチームのマネジメント）","正社員","中途","生産・製造部門","220.110.61.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/16 19:27:22","セグメントなし","","7;電話、直接を問わず、インターセプトが少なくなったことから、業務的な生産性は向上したと考えられる。
また、MTGが基本的にオンラインになり、全員がオンラインMTGに慣れてきたことから、MTGに対する時間コストが低減出来ていると考えられる。
一方、オンラインMTGの音声品質等の問題により、MTG時のストレスが増えていることはマイナス要因。","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","あまり当てはまらない","週2日程度","3ヶ月程度前","5;業務的に魅力があると考えられる部分もあるが、
給与条件、待遇、福利厚生等、不十分と考えられる部分も多く、
強く勧められる、とは考えていない。","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","当てはまらない","あまり当てはまらない","当てはまる","やや当てはまる","どちらでもない","仕事とプライベートを両立しやすい環境で仕事をしたい","5年以上10年未満くらい","男性","40～49歳","10年以上～20年未満","本部長／事業部長","正社員","中途","技術・研究開発部門","220.110.61.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:77.0) Gecko/20100101 Firefox/77.0"
"","2020/06/16 15:11:21","セグメントなし","","5;+要素　通勤時間がないので仕事がはかどるため。
－要素　顧客や、社員の動きがわかりづらい","当てはまる","あまり当てはまらない","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","どちらでもない","週5日以上","2ヶ月程度前","8","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","当てはまる","仕事とプライベートを両立しやすい環境で仕事をしたい","10年以上","女性","40～49歳","半年以上～1年未満","プレイヤー（外勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","106.180.8.20","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"","2020/06/16 11:34:06","セグメントなし","","5;家だと気持ちが緩みがちになる。","あまり当てはまらない","どちらでもない","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまらない","当てはまる","やや当てはまる","当てはまらない","あまり当てはまらない","当てはまる","当てはまる","当てはまる","あまり当てはまらない","週5日以上","4～5ヶ月程度前","7;通勤時間がない分ストレスフリーなのが良い。また、直ぐ退勤できるため家事など直ぐできるのが助かる。","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","当てはまらない","どちらでもない","どちらでもない","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","当てはまる","あまり当てはまらない","どちらでもない","当てはまらない","当てはまる","当てはまらない","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","責任ある立場で組織を動かすような仕事をしたい","1年以上3年未満くらい","男性","20～29歳","1年以上～3年未満","プレイヤー（内勤系職種）","正社員","中途","その他部門","220.110.61.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/16 07:23:01","セグメントなし","","8;ウェブ会議が一般的になり、客先移動の時間が削減できるようになった。
チャットツールが浸透して、作業依頼がスムーズにできるようになった。
出勤、退勤のタイミングによって、オフィス作業・持ち帰り作業で時間が分断されていたが、出社がなくなったことによって集中した時間を確保しやすくなった。","当てはまる","当てはまらない","当てはまらない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまらない","当てはまらない","どちらでもない","当てはまる","当てはまらない","当てはまらない","当てはまらない","どちらでもない","やや当てはまる","当てはまる","当てはまらない","週5日以上","4～5ヶ月程度前","8;スキルを活かして、さらに伸ばせる環境がある。逆を言うと、スキルがマッチしないと居場所がない。","当てはまる","当てはまらない","当てはまらない","当てはまる","やや当てはまる","当てはまらない","どちらでもない","どちらでもない","当てはまる","当てはまる","当てはまる","どちらでもない","どちらでもない","当てはまる","どちらでもない","当てはまる","当てはまる","当てはまらない","当てはまる","当てはまらない","どちらでもない","当てはまる","当てはまらない","やや当てはまる","当てはまる","当てはまる","やや当てはまる","責任ある立場で組織を動かすような仕事をしたい","10年以上","男性","40～49歳","5年以上～10年未満","課長（複数のチームのマネジメント）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","153.204.167.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/15 18:50:13","セグメントなし","","5;集中できてよい場合もあるが、対面のコミュニケーションのほうが話が早い場合もあり、生産性があがったとも下がったとも言えない。","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","当てはまる","やや当てはまる","週4日程度","3ヶ月程度前","4","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","自分の決めたやり方やペースを守れる環境で仕事をしたい","半年以上1年未満くらい","女性","50～59歳","1年以上～3年未満","その他","正社員","中途","マーケティング部門（広報も含む）","124.209.186.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/15 11:15:33","セグメントなし","","7;出社しないと出来ない業務もある為完全テレワークではないですが、出勤移動時間が半分になり、自宅でできる仕事、出社して集中して処理する仕事のメリハリがついたと思います。","当てはまらない","当てはまる","あまり当てはまらない","あまり当てはまらない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","あまり当てはまらない","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","当てはまる","週2日程度","2ヶ月程度前","8","当てはまる","当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","仕事とプライベートを両立しやすい環境で仕事をしたい","1年以上3年未満くらい","女性","40～49歳","1年以上～3年未満","その他","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","122.249.89.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"","2020/06/15 09:36:45","セグメントなし","","5","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","当てはまる","どちらでもない","どちらでもない","やや当てはまる","週5日以上","2ヶ月程度前","5","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","やや当てはまる","あまり当てはまらない","どちらでもない","当てはまらない","どちらでもない","どちらでもない","仕事とプライベートを両立しやすい環境で仕事をしたい","10年以上","男性","40～49歳","3年以上～5年未満","プレイヤー（内勤系職種）","正社員","中途","システム部門","220.110.61.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/15 09:35:08","セグメントなし","","6;案件とは関係ない電話対応が減り、業務に集中できるようになった。","当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","週5日以上","4～5ヶ月程度前","5","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","当てはまる","当てはまる","やや当てはまる","どちらでもない","どちらでもない","当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","やや当てはまる","仕事とプライベートを両立しやすい環境で仕事をしたい","3年以上5年未満くらい","女性","20～29歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","新卒","生産・製造部門","220.110.61.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/15 09:15:40","セグメントなし","","10;話しかけられないため作業を中断せずにできるため、集中力を切らすことなく作業できる。","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","やや当てはまる","やや当てはまる","あまり当てはまらない","当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまる","どちらでもない","当てはまる","当てはまる","週5日以上","2ヶ月程度前","5;選択肢として教えるが、友人・知人に合っているかは判断できないため、すすめはしないし、やめるようにも言わない。","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","当てはまらない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","当てはまる","当てはまる","どちらでもない","あまり当てはまらない","どちらでもない","当てはまる","特定分野の専門家・エキスパートとして仕事をしたい","10年以上","男性","40～49歳","1年以上～3年未満","主任／リーダー（内勤系職種）","正社員","中途","技術・研究開発部門","220.110.61.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.98 Safari/537.36"
